,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
56,Mathematics Extension 1,"9,279",HSC,39.7,8.0,50.0,49.5,48.0,46.0,42.0,35.0
57,Mathematics Extension 1,,scaled,39.7,7.5,50.0,49.5,47.2,44.9,41.5,36.6
58,Mathematics Extension 2,"3,844",HSC,41.5,6.3,50.0,49.5,48.0,46.5,43.5,37.5
59,Mathematics Extension 2,,scaled,43.4,5.3,50.0,49.6,48.3,46.9,44.7,41.5
60,Modern History,"10,953",HSC,37.1,6.5,49.5,47.5,45.0,41.5,38.0,33.5
61,Modern History,,scaled,25.0,11.1,50.0,46.0,39.2,33.7,25.8,16.6
62,History Extension,"1,777",HSC,40.5,5.2,49.0,48.0,47.0,45.0,41.0,37.0
63,History Extension,,scaled,32.7,7.7,50.0,47.0,42.7,38.1,32.9,27.6
64,Music 1,"4,681",HSC,40.9,5.1,49.5,48.5,46.5,44.5,42.0,38.5
65,Music 1,,scaled,20.8,11.0,46.7,43.8,36.4,29.0,20.4,12.0
66,Music 2,762,HSC,43.7,3.2,50.0,49.5,48.0,46.0,44.0,41.0
67,Music 2,,scaled,34.1,8.5,50.0,48.7,44.9,40.8,35.1,27.6
68,Music Extension,447,HSC,46.2,4.1,50.0,50.0,50.0,49.0,47.0,45.0
69,Music Extension,,scaled,35.9,10.3,50.0,50.0,49.6,45.2,36.3,29.4
70,PDH&PE,"17,852",HSC,37.3,5.5,49.0,47.0,44.5,41.5,37.5,33.5
71,PDH&PE,,scaled,22.8,10.8,48.6,43.5,37.3,31.3,22.8,14.2
72,Physics,"8,817",HSC,37.0,6.4,49.0,47.5,45.5,42.0,37.5,32.0
73,Physics,,scaled,31.0,9.9,50.0,47.2,43.0,38.8,32.2,24.0
74,Science Extension,855,HSC,37.6,5.0,49.0,47.0,44.0,41.0,38.0,35.0
75,Science Extension,,scaled,32.0,7.2,49.3,46.4,41.0,37.1,32.5,27.2
76,Society & Culture,"4,957",HSC,38.9,5.2,49.5,48.0,45.5,42.5,39.5,36.0
77,Society & Culture,,scaled,23.1,10.7,48.2,44.9,37.7,31.3,23.1,14.7
78,Software Design & Development,"1,806",HSC,37.4,6.6,49.5,48.5,46.0,42.0,38.0,33.5
