,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
57,Mathematics Extension 1,,scaled,40.0,7.7,50.0,49.2,47.5,45.6,42.1,36.7
58,Mathematics Extension 2,"3,271",HSC,40.9,7.3,50.0,49.0,47.5,46.0,43.0,38.0
59,Mathematics Extension 2,,scaled,44.2,5.1,50.0,49.5,48.5,47.4,45.6,42.7
60,Modern History,"10,153",HSC,37.0,6.1,49.5,47.5,44.5,41.5,37.5,33.5
61,Modern History,,scaled,25.4,10.9,50.0,46.1,39.5,33.7,26.2,17.6
62,History Extension,"1,532",HSC,39.9,6.0,49.0,48.0,47.0,45.0,41.0,37.0
63,History Extension,,scaled,33.6,7.3,50.0,47.4,42.8,38.8,34.0,29.2
64,Music 1,"4,263",HSC,41.2,4.7,50.0,48.5,46.5,44.5,42.0,38.5
65,Music 1,,scaled,21.4,10.6,46.7,43.3,36.0,29.4,21.0,13.0
66,Music 2,684,HSC,43.4,3.1,50.0,49.0,47.5,45.5,43.5,41.5
67,Music 2,,scaled,34.2,8.2,50.0,48.5,44.1,40.2,35.3,28.9
68,Music Extension,353,HSC,46.1,4.1,50.0,50.0,50.0,49.0,47.0,45.0
69,Music Extension,,scaled,36.6,9.2,50.0,50.0,50.0,44.1,37.1,30.7
70,PDH&PE,"15,883",HSC,35.1,6.1,49.5,46.5,43.5,40.0,35.0,30.5
71,PDH&PE,,scaled,22.8,10.4,48.1,43.8,37.3,31.0,22.3,14.6
72,Physics,"7,633",HSC,37.4,6.8,50.0,48.0,45.5,42.5,38.0,33.0
73,Physics,,scaled,30.9,10.4,50.0,46.8,43.4,39.3,32.5,23.6
74,Science Extension,658,HSC,37.9,4.8,50.0,48.0,44.0,41.0,38.0,35.0
75,Science Extension,,scaled,33.8,7.2,50.0,48.1,42.5,38.9,34.4,30.1
76,Society & Culture,"4,614",HSC,38.3,5.5,49.5,48.0,45.0,42.5,39.0,35.0
77,Society & Culture,,scaled,23.3,10.8,48.6,45.5,38.1,31.5,22.9,14.6
78,Software Design & Development,"1,806",HSC,37.4,6.6,49.5,48.5,46.0,42.0,38.0,33.5
79,Software Design & Development,,scaled,26.8,11.0,50.0,46.8,41.4,35.4,27.5,18.6
80,Studies of Religion I,"8,433",HSC,38.4,4.8,50.0,48.0,45.0,42.0,39.0,35.0
81,Studies of Religion I,,scaled,27.3,9.2,48.9,45.1,39.5,34.2,27.6,20.6
82,Studies of Religion II,"6,091",HSC,38.6,5.4,49.5,47.5,45.0,42.5,39.5,35.5
83,Studies of Religion II,,scaled,27.1,10.3,50.0,45.6,40.2,35.3,28.0,19.6
84,Textiles & Design,"1,485",HSC,39.3,5.8,49.0,48.0,46.0,43.5,40.5,35.5
85,Textiles & Design,,scaled,23.0,11.2,48.7,44.5,38.0,32.0,22.9,13.5
86,Visual Arts,"8,177",HSC,40.9,4.1,49.5,48.0,45.5,44.0,41.5,38.5
87,Visual Arts,,scaled,22.1,11.1,49.0,45.5,37.7,30.7,21.3,13.2
88,Arabic Continuers,294,HSC,40.7,4.5,49.0,48.0,45.5,44.0,41.0,38.0
89,Arabic Continuers,,scaled,16.6,11.1,43.3,41.9,32.9,25.2,14.0,7.1
90,Arabic Extension,70,HSC,40.5,4.5,48.0,48.0,46.0,44.0,41.0,38.0
91,Arabic Extension,,scaled,24.4,6.4,39.2,39.2,32.5,28.6,25.0,19.9
92,Armenian Continuers,20,HSC,40.5,3.7,46.5,,,,,
93,Armenian Continuers,,scaled,29.4,12.0,50.0,,,,,
94,Chinese Beginners,59,HSC,39.5,7.4,49.5,49.5,47.0,45.0,41.5,35.5
95,Chinese Beginners,,scaled,23.0,10.8,44.5,44.5,35.7,31.4,24.6,14.0
96,Chinese Continuers,207,HSC,42.7,4.4,49.0,48.5,47.5,46.0,43.5,40.0
97,Chinese Continuers,,scaled,34.0,8.7,50.0,48.3,45.4,40.6,35.0,28.6
98,Chinese Extension,61,HSC,44.6,2.8,50.0,50.0,48.0,46.0,45.0,43.0
99,Chinese Extension,,scaled,38.4,5.8,50.0,50.0,45.3,41.7,39.0,34.5
100,Chinese & Literature,330,HSC,41.6,4.0,48.0,47.5,45.5,44.5,42.5,39.0
101,Chinese & Literature,,scaled,24.7,11.3,50.0,46.6,38.8,33.4,25.3,15.1
102,Chinese in Context,152,HSC,43.9,5.5,49.0,49.0,47.5,47.0,45.5,42.5
103,Chinese in Context,,scaled,30.6,10.3,50.0,46.9,41.7,38.8,32.0,24.4
104,Classical Hebrew Continuers,19,HSC,43.1,4.9,48.0,,,,,
105,Classical Hebrew Continuers,,scaled,34.1,9.3,49.0,,,,,
106,Filipino Continuers,10,HSC,44.6,2.8,47.5,,,,,
107,Filipino Continuers,,scaled,20.9,12.4,39.7,,,,,
108,French Beginners,323,HSC,37.9,7.2,50.0,49.0,47.0,44.0,38.0,32.5
109,French Beginners,,scaled,25.0,10.5,49.1,45.7,39.5,32.7,24.6,16.6
110,French Continuers,514,HSC,40.4,5.5,49.0,49.0,47.0,45.0,41.0,37.5
111,French Continuers,,scaled,34.0,8.7,50.0,49.3,44.4,40.6,35.0,29.0
112,French Extension,98,HSC,39.6,4.4,47.0,47.0,45.0,43.0,40.0,37.0
113,French Extension,,scaled,40.2,4.8,50.0,50.0,45.3,43.2,40.9,37.6
114,German Beginners,91,HSC,39.9,6.7,50.0,50.0,48.0,45.5,41.0,34.5
