Subject,Result,25%,50%,75%,90%,99%
Agricultural Practices,Raw,C,B,B,A,A
Agricultural Practices,Scaled,6.76,20.32,20.32,47.28,47.28
Aquatic Practices,Raw,C,B,B,A,A
Aquatic Practices,Scaled,8.25,23.02,23.02,49.87,49.87
Arts in Practice,Raw,C,B,B,A,A
Arts in Practice,Scaled,11.97,24.77,24.77,44.37,44.37
Building and Construction Skills,Raw,C,B,B,A,A
Building and Construction Skills,Scaled,5.31,15.47,15.47,37.40,37.40
Business Studies,Raw,C,B,B,A,A
Business Studies,Scaled,11.82,27.36,27.36,51.43,51.43
Dance in Practice,Raw,C,B,B,A,A
Dance in Practice,Scaled,9.36,26.03,26.03,54.54,54.54
Drama in Practice,Raw,C,B,B,A,A
Drama in Practice,Scaled,9.68,25.57,25.57,52.41,52.41
Early Childhood Studies,Raw,C,B,B,A,A
Early Childhood Studies,Scaled,10.12,25.61,25.61,51.29,51.29
Engineering Skills,Raw,C,B,B,A,A
Engineering Skills,Scaled,7.44,18.47,18.47,38.99,38.99
Essential English,Raw,C,B,B,A,A
Essential English,Scaled,10.18,22.83,22.83,43.59,43.59
Essential Mathematics,Raw,C,B,B,B,A
Essential Mathematics,Scaled,11.04,23.95,23.95,23.95,44.42
Fashion,Raw,C,B,B,A,A
Fashion,Scaled,17.06,40.26,40.26,68.83,68.83
Furnishing Skills,Raw,C,B,B,A,A
Furnishing Skills,Scaled,6.57,17.87,17.87,40.26,40.26
Hospitality Practices,Raw,C,B,B,A,A
Hospitality PracticesScaled,12.24,29.60,29.60,55.89,55.89
Industrial Graphics Skills,Raw,C,B,B,A,A
Industrial Graphics Skills,Scaled,10.17,27.50,27.50,55.97,55.97
Industrial Technology Skills,Raw,C,B,B,A,A
Industrial Technology Skills,Scaled,10.56,24.14,24.14,46.18,46.18
Information and Communication Technology,Raw,C,B,B,A,A
Information and Communication Technology,Scaled,13.21,33.06,33.06,61.59,61.59
Media Arts in Practice,Raw,C,B,B,A,A
Media Arts in Practice,Scaled,11.87,28.87,28.87,55.01,55.01
Music in Practice,Raw,C,B,B,A,A
Music in Practice,Scaled,8.69,24.11,24.11,51.48,51.48
Religion and Ethics,Raw,C,B,B,A,A
Religion and Ethics,Scaled,25.53,53.91,53.91,79.96,79.96
Science in Practice,Raw,C,B,B,A,A
Science in Practice,Scaled,10.70,25.60,25.60,49.71,49.71
Social and Community Studies,Raw,C,B,B,A,A
Social and Community Studies,Scaled,7.97,23.31,23.31,51.60,51.60
Sport and Recreation,Raw,C,B,B,A,A
Sport and Recreation,Scaled,8.02,23.82,23.82,52.85,52.85
Tourism,Raw,C,B,B,A,A
Tourism,Scaled,10.02,24.38,24.38,48.28,48.28
Visual Arts in Practice,Raw,C,B,B,A,A
Visual Arts in Practice,Scaled,11.38,28.37,28.37,54.98,54.98
